customer_state,total_orders,total_customers,total_revenue,avg_order_value,avg_review_score
SP,40501,39156,5769703.15,142.46,4.25
RJ,12350,11917,2055401.57,166.43,3.97
MG,11354,11001,1818891.67,160.2,4.19
RS,5345,5168,861472.79,161.17,4.19
PR,4923,4769,781708.8,158.79,4.24
SC,3546,3449,595127.78,167.83,4.13
BA,3256,3158,591137.81,181.55,3.93
DF,2080,2019,346123.35,166.41,4.13
GO,1957,1895,334212.35,170.78,4.1
ES,1995,1928,317657.93,159.23,4.08
PE,1593,1551,308972.05,193.96,4.08
CE,1279,1258,266436.77,208.32,3.94
PA,946,922,212023.57,224.13,3.91
MT,886,856,181224.42,204.54,4.15
MA,717,700,147803.55,206.14,3.83
PB,517,504,137838.55,266.61,4.08
MS,701,681,134367.55,191.68,4.16
PI,476,464,105178.19,220.96,3.99
RN,474,464,100714.78,212.48,4.15
AL,397,387,94172.49,237.21,3.85
SE,335,329,70289.13,209.82,3.91
TO,274,267,60007.37,219.0,4.15
RO,243,231,56966.0,234.43,4.17
AM,145,140,27585.47,190.24,4.24
AC,80,76,19575.33,244.69,4.09
AP,67,66,16141.81,240.92,4.24
RR,41,40,9039.52,220.48,3.9
